disease,aliases,category,description,common_symptoms,total_known_symptoms,general_precautions,risk_factors,when_to_seek_professional_care,similar_diseases,source,verification_date
(vertigo) Paroymsal  Positional Vertigo,,Neurological (ENT),Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,"Headache, Loss Of Balance, Nausea, Spinning Movements, Unsteadiness, Vomiting",6,lie down; avoid sudden change in body; avoid abrupt head movment; relax,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Malaria (27%); Paralysis (brain hemorrhage) (25%); Hypertension (22%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
AIDS,,Infectious Disease,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","Extra Marital Contacts, High Fever, Muscle Wasting, Patches In Throat",4,avoid open cuts; wear ppe if possible; consult doctor; follow up,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Impetigo (12%); Bronchial Asthma (11%); Jaundice (9%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Acne,,Dermatological,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","Blackheads, Pus Filled Pimples, Scurring, Skin Rash",4,bath twice; avoid fatty spicy food; drink plenty of water; avoid too many products,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Fungal infection (14%); Drug Reaction (12%); Impetigo (12%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Alcoholic hepatitis,,Hepatobiliary,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol","Abdominal Pain, Distention Of Abdomen, Fluid Overload, History Of Alcohol Consumption, Swelling Of Stomach, Vomiting, Yellowish Skin",7,stop alcohol consumption; consult doctor; medication; follow up,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Chronic cholestasis (27%); Jaundice (25%); Hepatitis D (23%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Allergy,,Immunological,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.","Chills, Continuous Sneezing, Shivering, Watering From Eyes",4,apply calamine; cover area with bandage; use ice to compress itching,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Common Cold (10%); Malaria (9%); Pneumonia (7%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Arthritis,,Musculoskeletal,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.","Movement Stiffness, Muscle Weakness, Painful Walking, Stiff Neck, Swelling Joints",5,exercise; use hot and cold therapy; try acupuncture; massage,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Osteoarthristis (22%); Migraine (8%); Hyperthyroidism (7%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Bronchial Asthma,,Respiratory,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.","Breathlessness, Cough, Family History, Fatigue, High Fever, Mucoid Sputum",6,switch to loose cloothing; take deep breaths; get away from trigger; seek help,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Pneumonia (31%); Tuberculosis (22%); Hepatitis C (20%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Cervical spondylosis,,Musculoskeletal,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).","Back Pain, Dizziness, Loss Of Balance, Neck Pain, Weakness In Limbs",5,use heating pad or cold pack; exercise; take otc pain reliver; consult doctor,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hypertension (25%); (vertigo) Paroymsal  Positional Vertigo (10%); Osteoarthristis (10%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Chicken pox,,Infectious Disease,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","Fatigue, Headache, High Fever, Itching, Lethargy, Loss Of Appetite, Malaise, Mild Fever",11,use neem in bathing ; consume neem leaves; take vaccine; avoid public places,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Dengue (39%); Tuberculosis (29%); Hepatitis B (28%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
Chronic cholestasis,,Hepatobiliary,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases","Abdominal Pain, Itching, Loss Of Appetite, Nausea, Vomiting, Yellowing Of Eyes, Yellowish Skin",7,cold baths; anti itch medicine; consult doctor; eat healthy,Not available as structured data in the current dataset (Future Scope: integrate epidemiological risk-factor dataset).,"Seek professional medical evaluation if symptoms are severe, persistent (beyond a few days), rapidly worsening, or accompanied by any red-flag symptom (e.g. severe breathing difficulty, chest pain, confusion, uncontrolled bleeding). This guidance is general and not a substitute for professional diagnosis.",Hepatitis D (60%); hepatitis A (50%); Hepatitis C (44%),Kaggle Disease-Symptom Prediction public dataset (symptom_Description.csv / symptom_precaution.csv),2026-09-10
