medicine_name,generic_name,drug_class,common_uses,precautions,common_side_effects,important_warnings,interactions,source,verification_date
Paracetamol,Acetaminophen,Analgesic / Antipyretic,"Mild-to-moderate pain relief, fever reduction","Avoid exceeding recommended daily dose; caution with existing liver disease","Nausea, rash (uncommon at normal doses)","Overdose can cause serious liver damage - always follow label/professional dosing guidance","Increased liver risk when combined with alcohol",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Ibuprofen,Ibuprofen,NSAID (Non-Steroidal Anti-Inflammatory Drug),"Pain relief, inflammation, fever reduction","Take with food; caution in stomach ulcer, kidney disease, asthma","Stomach upset, heartburn, dizziness","May increase bleeding and cardiovascular risk with long-term/high-dose use","Interacts with blood thinners (e.g. warfarin) and some blood-pressure medicines",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Aspirin,Acetylsalicylic acid,NSAID / Antiplatelet,"Pain relief, fever reduction, low-dose use in cardiovascular protection (as advised by a physician)","Avoid in children with viral illness (Reye's syndrome risk); caution with bleeding disorders","Stomach irritation, heartburn","Not recommended for children/teenagers with fever from viral illness without medical advice","Interacts with anticoagulants and other NSAIDs",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Cetirizine,Cetirizine,Antihistamine (2nd generation),"Allergy symptoms, itching, runny nose, hives","Caution with kidney impairment; may cause mild drowsiness in some people","Drowsiness (mild), dry mouth, fatigue","Use caution when driving/operating machinery until individual response is known","Additive drowsiness with sedatives/alcohol",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Loratadine,Loratadine,"Antihistamine (2nd generation, non-drowsy)","Allergy symptoms, hay fever, hives","Generally well tolerated; caution with liver impairment","Headache, dry mouth","Rare adverse effects at normal dosing",N/A,WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Omeprazole,Omeprazole,Proton Pump Inhibitor (PPI),"Acid reflux, GERD, peptic ulcer management (as advised by a physician)","Long-term use should be physician-supervised","Headache, nausea, abdominal pain","Long-term use associated with nutrient absorption changes - requires medical supervision","Can affect absorption of certain other medicines",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Amoxicillin,Amoxicillin,Antibiotic (Penicillin class),"Bacterial infections as prescribed by a physician after diagnosis","Prescription-only; complete the full course as directed; not effective against viral infections","Diarrhoea, nausea, rash","Allergic reactions possible in penicillin-sensitive individuals; must only be used under medical prescription","May reduce effectiveness of some oral contraceptives",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Azithromycin,Azithromycin,Antibiotic (Macrolide class),"Bacterial infections as prescribed by a physician after diagnosis","Prescription-only; not effective against viral infections","Nausea, diarrhoea, abdominal discomfort","Must only be used under medical prescription and diagnosis","Interacts with certain heart-rhythm medicines",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Metformin,Metformin,Antidiabetic (Biguanide),"Type 2 diabetes management (as prescribed by a physician)","Prescription/monitoring required; caution with kidney or liver impairment","Nausea, mild gastrointestinal upset","Requires ongoing medical supervision and periodic monitoring","Caution combined with alcohol or contrast dye procedures",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Amlodipine,Amlodipine,Antihypertensive (Calcium Channel Blocker),"High blood pressure management (as prescribed by a physician)","Prescription/monitoring required","Ankle swelling, flushing, headache","Requires ongoing medical supervision - do not self-adjust dose","Caution with certain other blood-pressure medicines",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Salbutamol,Salbutamol (Albuterol),Bronchodilator (SABA),"Relief of asthma/breathlessness symptoms (as prescribed)","Prescription/medical guidance recommended for asthma management","Tremor, rapid heartbeat, nervousness","Overuse may indicate poorly controlled asthma - requires medical review","Caution with certain heart medicines",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Oral Rehydration Salts (ORS),Oral Rehydration Salts,Rehydration therapy,"Dehydration from diarrhoea/vomiting/fever","Follow packet mixing instructions exactly","Rare when prepared correctly","Seek medical care if dehydration is severe or diarrhoea is prolonged/bloody","N/A",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Domperidone,Domperidone,Antiemetic,"Nausea and vomiting relief (as advised by a physician/pharmacist)","Caution with heart rhythm conditions","Dry mouth, headache","Not recommended for prolonged self-use without medical advice","Interacts with certain heart-rhythm and antifungal medicines",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Levothyroxine,Levothyroxine,Thyroid hormone replacement,"Hypothyroidism management (as prescribed by a physician)","Prescription/monitoring required; dose is individualized via lab tests","Palpitations, weight change if dose incorrect","Requires ongoing medical supervision and periodic thyroid function tests","Timing interactions with calcium/iron supplements and food",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
Diphenhydramine,Diphenhydramine,Antihistamine (1st generation) / Sleep aid,"Allergy symptoms, short-term sleep aid","Causes drowsiness; avoid driving after use","Drowsiness, dry mouth, blurred vision","Not recommended for elderly patients or long-term use without medical advice","Additive sedation with alcohol/sedatives",WHO Model List of Essential Medicines (public reference) / general pharmacology reference,2026-01-01
