symptom,display_name,severity_weight,severity_band,associated_disease_count,associated_diseases_sample,source,verification_date
abdominal_pain,Abdominal Pain,4,Moderate,9,"Alcoholic hepatitis, Chronic cholestasis, Hepatitis B, Hepatitis D, Hepatitis E",Symptom-severity.csv (public dataset),2026-09-10
abnormal_menstruation,Abnormal Menstruation,6,High,2,"Hyperthyroidism, Hypothyroidism",Symptom-severity.csv (public dataset),2026-09-10
acidity,Acidity,3,Low,2,"GERD, Migraine",Symptom-severity.csv (public dataset),2026-09-10
acute_liver_failure,Acute Liver Failure,6,High,1,Hepatitis E,Symptom-severity.csv (public dataset),2026-09-10
altered_sensorium,Altered Sensorium,2,Low,1,Paralysis (brain hemorrhage),Symptom-severity.csv (public dataset),2026-09-10
anxiety,Anxiety,4,Moderate,1,Hypoglycemia,Symptom-severity.csv (public dataset),2026-09-10
back_pain,Back Pain,3,Low,2,"Cervical spondylosis, Dengue",Symptom-severity.csv (public dataset),2026-09-10
belly_pain,Belly Pain,4,Moderate,1,Typhoid,Symptom-severity.csv (public dataset),2026-09-10
blackheads,Blackheads,2,Low,1,Acne,Symptom-severity.csv (public dataset),2026-09-10
bladder_discomfort,Bladder Discomfort,4,Moderate,1,Urinary tract infection,Symptom-severity.csv (public dataset),2026-09-10
blister,Blister,4,Moderate,1,Impetigo,Symptom-severity.csv (public dataset),2026-09-10
blood_in_sputum,Blood In Sputum,5,Moderate,1,Tuberculosis,Symptom-severity.csv (public dataset),2026-09-10
bloody_stool,Bloody Stool,5,Moderate,1,Dimorphic hemmorhoids(piles),Symptom-severity.csv (public dataset),2026-09-10
blurred_and_distorted_vision,Blurred And Distorted Vision,5,Moderate,3,"Diabetes, Hypoglycemia, Migraine",Symptom-severity.csv (public dataset),2026-09-10
breathlessness,Breathlessness,4,Moderate,4,"Bronchial Asthma, Heart attack, Pneumonia, Tuberculosis",Symptom-severity.csv (public dataset),2026-09-10
brittle_nails,Brittle Nails,5,Moderate,1,Hypothyroidism,Symptom-severity.csv (public dataset),2026-09-10
bruising,Bruising,4,Moderate,1,Varicose veins,Symptom-severity.csv (public dataset),2026-09-10
burning_micturition,Burning Micturition,6,High,2,"Drug Reaction, Urinary tract infection",Symptom-severity.csv (public dataset),2026-09-10
chest_pain,Chest Pain,7,High,6,"Common Cold, GERD, Heart attack, Hypertension, Pneumonia",Symptom-severity.csv (public dataset),2026-09-10
chills,Chills,3,Low,7,"Allergy, Common Cold, Dengue, Malaria, Pneumonia",Symptom-severity.csv (public dataset),2026-09-10
cold_hands_and_feets,Cold Hands And Feets,5,Moderate,1,Hypothyroidism,Symptom-severity.csv (public dataset),2026-09-10
coma,Coma,7,High,1,Hepatitis E,Symptom-severity.csv (public dataset),2026-09-10
congestion,Congestion,5,Moderate,1,Common Cold,Symptom-severity.csv (public dataset),2026-09-10
constipation,Constipation,4,Moderate,2,"Dimorphic hemmorhoids(piles), Typhoid",Symptom-severity.csv (public dataset),2026-09-10
continuous_feel_of_urine,Continuous Feel Of Urine,6,High,1,Urinary tract infection,Symptom-severity.csv (public dataset),2026-09-10
continuous_sneezing,Continuous Sneezing,4,Moderate,2,"Allergy, Common Cold",Symptom-severity.csv (public dataset),2026-09-10
cough,Cough,4,Moderate,5,"Bronchial Asthma, Common Cold, GERD, Pneumonia, Tuberculosis",Symptom-severity.csv (public dataset),2026-09-10
cramps,Cramps,4,Moderate,1,Varicose veins,Symptom-severity.csv (public dataset),2026-09-10
dark_urine,Dark Urine,4,Moderate,5,"Hepatitis B, Hepatitis D, Hepatitis E, Jaundice, hepatitis A",Symptom-severity.csv (public dataset),2026-09-10
dehydration,Dehydration,4,Moderate,1,Gastroenteritis,Symptom-severity.csv (public dataset),2026-09-10
depression,Depression,3,Low,2,"Hypothyroidism, Migraine",Symptom-severity.csv (public dataset),2026-09-10
diarrhoea,Diarrhoea,6,High,5,"Gastroenteritis, Hyperthyroidism, Malaria, Typhoid, hepatitis A",Symptom-severity.csv (public dataset),2026-09-10
dischromic_patches,Dischromic Patches,6,High,1,Fungal infection,Symptom-severity.csv (public dataset),2026-09-10
distention_of_abdomen,Distention Of Abdomen,4,Moderate,1,Alcoholic hepatitis,Symptom-severity.csv (public dataset),2026-09-10
dizziness,Dizziness,4,Moderate,3,"Cervical spondylosis, Hypertension, Hypothyroidism",Symptom-severity.csv (public dataset),2026-09-10
drying_and_tingling_lips,Drying And Tingling Lips,4,Moderate,1,Hypoglycemia,Symptom-severity.csv (public dataset),2026-09-10
